"Source","Target","Interaction_Type","Confidence","Dataset_Size","Optimization_Applied","Analysis_Date"
"22","13","Amensalism",181,"112x5","Yes",2025-08-28
"22","1","Amensalism",181,"112x5","Yes",2025-08-28
"22","2","Amensalism",181,"112x5","Yes",2025-08-28
"22","29","Amensalism",181,"112x5","Yes",2025-08-28
"22","30","Amensalism",181,"112x5","Yes",2025-08-28
"22","31","Amensalism",181,"112x5","Yes",2025-08-28
"22","3","Amensalism",181,"112x5","Yes",2025-08-28
"22","4","Amensalism",241,"112x5","Yes",2025-08-28
"22","5","Amensalism",181,"112x5","Yes",2025-08-28
"22","6","Amensalism",181,"112x5","Yes",2025-08-28
"22","7","Amensalism",181,"112x5","Yes",2025-08-28
"22","8","Amensalism",181,"112x5","Yes",2025-08-28
"23","13","Amensalism",181,"112x5","Yes",2025-08-28
"23","4","Amensalism",181,"112x5","Yes",2025-08-28
"23","6","Amensalism",181,"112x5","Yes",2025-08-28
"23","7","Amensalism",181,"112x5","Yes",2025-08-28
"23","8","Amensalism",181,"112x5","Yes",2025-08-28
"28","9","Amensalism",181,"112x5","Yes",2025-08-28
"28","10","Amensalism",181,"112x5","Yes",2025-08-28
"28","11","Amensalism",181,"112x5","Yes",2025-08-28
"28","1","Amensalism",181,"112x5","Yes",2025-08-28
"28","21","Amensalism",181,"112x5","Yes",2025-08-28
"28","27","Amensalism",181,"112x5","Yes",2025-08-28
"28","2","Amensalism",181,"112x5","Yes",2025-08-28
"28","29","Commensalism",181,"112x5","Yes",2025-08-28
"28","30","Commensalism",181,"112x5","Yes",2025-08-28
"28","31","Commensalism",181,"112x5","Yes",2025-08-28
"28","3","Amensalism",181,"112x5","Yes",2025-08-28
"28","40","Amensalism",181,"112x5","Yes",2025-08-28
"28","45","Commensalism",181,"112x5","Yes",2025-08-28
"28","4","Commensalism",181,"112x5","Yes",2025-08-28
"28","52","Amensalism",181,"112x5","Yes",2025-08-28
"28","57","Commensalism",181,"112x5","Yes",2025-08-28
"28","58","Commensalism",181,"112x5","Yes",2025-08-28
"28","5","Amensalism",181,"112x5","Yes",2025-08-28
"28","63","Commensalism",181,"112x5","Yes",2025-08-28
"28","66","Commensalism",181,"112x5","Yes",2025-08-28
"28","6","Commensalism",181,"112x5","Yes",2025-08-28
"28","69","Commensalism",181,"112x5","Yes",2025-08-28
"28","70","Commensalism",181,"112x5","Yes",2025-08-28
"28","75","Commensalism",181,"112x5","Yes",2025-08-28
"28","78","Commensalism",181,"112x5","Yes",2025-08-28
"28","7","Commensalism",181,"112x5","Yes",2025-08-28
"28","81","Commensalism",181,"112x5","Yes",2025-08-28
"28","82","Commensalism",181,"112x5","Yes",2025-08-28
"28","8","Commensalism",181,"112x5","Yes",2025-08-28
"90","9","Amensalism",181,"112x5","Yes",2025-08-28
"90","10","Amensalism",181,"112x5","Yes",2025-08-28
"90","11","Amensalism",181,"112x5","Yes",2025-08-28
"90","21","Amensalism",181,"112x5","Yes",2025-08-28
"90","27","Amensalism",181,"112x5","Yes",2025-08-28
"90","28","Mutualism",241,"112x5","Yes",2025-08-28
"90","29","Commensalism",241,"112x5","Yes",2025-08-28
"90","30","Commensalism",241,"112x5","Yes",2025-08-28
"90","31","Commensalism",241,"112x5","Yes",2025-08-28
"90","40","Amensalism",181,"112x5","Yes",2025-08-28
"90","45","Commensalism",181,"112x5","Yes",2025-08-28
"90","4","Commensalism",181,"112x5","Yes",2025-08-28
"90","52","Amensalism",181,"112x5","Yes",2025-08-28
"90","57","Commensalism",181,"112x5","Yes",2025-08-28
"90","58","Commensalism",181,"112x5","Yes",2025-08-28
"90","63","Commensalism",181,"112x5","Yes",2025-08-28
"90","66","Commensalism",181,"112x5","Yes",2025-08-28
"90","6","Commensalism",181,"112x5","Yes",2025-08-28
"90","69","Commensalism",181,"112x5","Yes",2025-08-28
"90","70","Commensalism",181,"112x5","Yes",2025-08-28
"90","75","Commensalism",181,"112x5","Yes",2025-08-28
"90","78","Commensalism",181,"112x5","Yes",2025-08-28
"90","7","Commensalism",181,"112x5","Yes",2025-08-28
"90","81","Commensalism",181,"112x5","Yes",2025-08-28
"90","82","Commensalism",181,"112x5","Yes",2025-08-28
"90","8","Commensalism",181,"112x5","Yes",2025-08-28
